Id,Price
725,160383.5107674105
15856,234416.40150022725
5480,322156.7570940171
15664,319783.15063819196
14275,136280.73857904758
7633,198082.95287466815
13329,168838.50265136486
5502,213594.85998155858
4220,316176.29186086764
11538,213555.14597908114
15975,270825.93376908294
3310,214991.37501149566
9286,150628.05507093956
11260,194771.03041705847
5214,112671.84053647464
11307,186884.1207890399
13543,396013.1091270872
615,165215.0709188136
3495,217888.857255277
2321,233622.8920225995
12046,187598.55342085048
16688,149283.51464805746
12694,219079.96019755417
783,161532.77217419597
8968,166765.60884076334
13454,187819.00201993537
12190,236646.03215538713
11160,120018.55679368242
10291,196756.79508627916
891,286085.96103622415
2982,179856.05949664742
3818,289531.01291451993
2449,192413.04518028634
8317,171982.94572465643
4922,189372.83692102425
1257,245953.07345036682
9348,195406.06222795328
4176,173945.43906903794
10704,167706.29908309295
6624,114609.28989803694
5428,184888.25036945497
12749,180758.90429979912
8994,237495.13374340103
11513,147588.39162121722
3047,206825.1549979361
9519,213868.55962484493
12309,232381.1342825593
14081,259012.55096499363
8334,267917.9421089166
6343,175390.9677216935
14788,128606.8886753249
15748,372944.3712053301
153,248103.1299212709
14149,192142.60029398417
269,192619.4126131319
5452,134318.44650106487
721,156412.1111005509
5079,317946.94515120407
2831,130721.30688010236
10614,117061.1444347378
10131,261832.85141506515
9996,323222.44161342137
3061,179977.96291622028
11733,319329.44111146574
3726,250036.23744876048
10929,204897.00016206477
9011,337848.0316767573
16182,287776.69869971176
4976,174054.31900340598
9897,245931.39430949592
1872,158320.88558833374
9205,407860.57358399103
5403,406401.1973173908
14074,188266.41090730877
6268,154611.5975754047
14232,164795.80876554924
8532,225883.11792857724
7034,323705.56627573806
6553,443537.4918987024
3133,175127.87270485793
8596,192904.40845778948
12389,235855.7171261027
14462,178110.56011776507
8860,364901.2798198809
8377,272170.08847103606
6367,321796.8539951275
6917,245364.17970912135
4216,187209.3612403918
5806,169947.57768132116
5438,185258.8440479829
6632,216072.88846814903
2650,150256.98860261735
5396,169253.6028184684
4044,151953.0120231115
1345,240538.4929355896
856,183443.10787095383
12791,254970.58596397654
